2023/09/21	16:57:13	52a66678-7c74-409c-bc09-a71ae5651071	/data/data.txt	GET
2023/09/21	16:57:13	940c1ac2-acf1-4e79-ac8c-5b36ae612916	/favicon.ico	GET
2023/09/21	16:57:57	2ee7defe-274f-49ed-b610-3f7a54285ecd	/data/data.txt5	GET
2023/09/21	16:58:35	f19e6983-4259-4189-9762-770cb1b70026	/data/data.txt	GET
2023/09/21	16:59:09	33792b19-3d78-487f-8899-ecc549b6e213	/data/data.txt	GET
2023/09/21	17:44:21	00cd3458-8d8f-4000-9a68-975d673ea9f3	GET	undefined	/
2023/09/21	17:44:21	1c030201-a9a6-481e-87af-35ab1ee6292e	GET	undefined	/css/style.css
2023/09/21	17:48:17	f8de0fd6-6f2c-4cc2-ac48-3608fb456d23	GET	undefined	/
2023/09/21	17:48:17	42ba9b09-6d60-412f-9b20-453d9f0f6298	GET	undefined	/css/style.css
2023/09/21	18:00:17	c4497024-cbe3-4665-80ff-ccf72aeb89cb	GET	undefined	/
2023/09/21	18:00:17	510babdc-e335-4693-9695-e538780f2603	GET	undefined	/css/style.css
2023/09/21	18:04:41	e95a1488-af78-46d4-961b-0435ee89b9bb	GET	undefined	/
2023/09/21	18:07:01	189b6e67-429c-4cc3-8eb6-91e46e50c5c9	GET	undefined	/
2023/09/21	18:07:01	41a242ef-d0c2-4ee9-bd52-dec268728015	GET	undefined	/css/style.css
2023/09/21	18:07:04	a2aae49d-3c8f-49ab-92f8-20134d89bd4c	GET	undefined	/aa
2023/09/21	18:07:04	016abd05-e800-406e-8d6f-80d0332da57a	GET	undefined	/css/styles.css
2023/09/21	18:07:19	534b78c9-d351-4799-8f98-1623b1b4d8ab	GET	undefined	/aa
2023/09/21	18:07:19	de6dfa36-dd73-4c61-bf17-668cecaa2fa0	GET	undefined	/css/styles.css
2023/09/21	18:07:34	80f4d43e-e40c-4be2-8879-d220f6757ea9	GET	undefined	/aa
2023/09/21	18:07:34	c86c5134-0727-4388-967e-d79e930793a6	GET	undefined	/css/style.css
2023/09/21	18:09:23	25c8d603-bc9c-49a3-b193-be19480e73f1	GET	undefined	/aa.html
2023/09/21	18:09:23	0e13d884-9c20-438a-a2a6-12680bc855d7	GET	undefined	/css/style.css
2023/09/22	14:32:55	55c2b50d-adc8-471c-86b8-4ae7cc425718	GET	undefined	/
2023/09/22	14:32:55	04155263-294d-4136-9f1e-45268c155056	GET	undefined	/css/style.css
2023/09/22	14:32:55	65aa98e0-71e4-4d73-82d8-1545e6aa9fd9	GET	undefined	/favicon.ico
2023/09/22	14:33:00	046008e2-4113-4e4f-8eda-f609ed103554	GET	undefined	/test
2023/09/22	14:33:00	94932e1b-c240-4d10-aa63-f295fd752416	GET	undefined	/css/style.css
2023/09/22	14:33:06	13760f47-3bd9-4400-a262-453643ea010e	GET	undefined	/subdir/test
2023/09/22	14:33:06	1eff23cd-d260-4632-bf42-024af9fa06e5	GET	undefined	/subdir/css/style.css
2023/09/22	14:33:14	87865051-f4d8-489c-aacb-f48d87693e03	GET	undefined	/subdir/index
2023/09/22	14:33:14	c50af80b-9ab8-4aff-8488-4396c694eb47	GET	undefined	/subdir/css/style.css
2023/09/22	14:33:17	81165791-e690-4177-b162-c6f4fe63e8c9	GET	undefined	/subdir/test
2023/09/22	14:33:17	93b5c019-02b6-4fc0-9dbe-33036222b5aa	GET	undefined	/subdir/css/style.css
2023/09/22	14:33:23	cb21f4aa-b1e0-4efd-b0da-198613417a09	GET	undefined	/subdir/test/
2023/09/22	14:33:23	f56912f3-4a63-46e2-8c82-3015150b6620	GET	undefined	/subdir/test/css/style.css
2023/09/22	14:33:27	319b9cda-a997-4366-9a95-f88487049095	GET	undefined	/subdir/test1
2023/09/22	14:33:27	a2cd7f8b-3c0f-446f-a0e1-15e78e748faa	GET	undefined	/subdir/css/style.css
2023/09/22	14:35:23	0c7433dd-ff3c-41f8-aced-72c74072da14	GET	undefined	/subdir/test/
2023/09/22	14:35:23	7d4c214e-2904-4ae4-8394-627f08cb35e6	GET	undefined	/subdir/test/css/style.css
2023/09/22	14:35:24	44f7287b-e345-4b01-ba10-2fc972077f7f	GET	undefined	/subdir/test/
2023/09/22	14:35:24	81f37f7c-1023-4af1-87d9-ffd8d1cde05d	GET	undefined	/subdir/test/css/style.css
2023/09/22	14:35:42	8f389ed4-8b7f-4637-ba1d-c058a0a481e2	GET	undefined	/subdir/test/
2023/09/22	14:35:42	ed324f18-0e01-4953-9a62-b078676762a9	GET	undefined	/subdir/test/css/style.css
2023/09/22	14:36:01	27d7d4f8-462c-4b69-8251-e01c415405a2	GET	undefined	/subdir/test/
2023/09/22	14:36:01	0702897c-deed-4980-91e0-ad2f2b22bf75	GET	undefined	/subdir/test/css/style.css
2023/09/22	14:36:48	9d2a1f56-679d-40b2-8bc1-f364fc90c3d5	GET	undefined	/subdir/test/
2023/09/22	14:36:48	b9ef826b-88ae-4483-a290-2e6f7ce6a9fe	GET	undefined	/subdir/test/css/style.css
2023/09/22	14:36:52	c4626fa3-3f4b-4507-b955-e90b89ce59ab	GET	undefined	/
2023/09/22	14:36:52	6e83ed47-6f86-41d6-9665-863e7dd71e90	GET	undefined	/css/style.css
2023/09/22	14:36:53	ea5f45f8-20e9-4254-b137-28f9c5f75764	GET	undefined	/
2023/09/22	14:36:53	17cb464a-96fc-453a-a290-f39689dbadc9	GET	undefined	/css/style.css
2023/09/22	14:36:57	bd36988a-a1fe-4ab2-8ef0-49c35a902eb8	GET	undefined	/
2023/09/22	14:36:57	4ea537d5-c0f7-45ca-9356-09bc955408b6	GET	undefined	/css/style.css
2023/09/22	14:37:00	573fa58a-7388-41e3-90dd-f81d224e00ad	GET	undefined	/subdir/test
2023/09/22	14:37:00	58576347-3bb7-4fa5-8d52-1b0e61259685	GET	undefined	/subdir/css/style.css
2023/09/22	14:37:01	f2c44543-c182-42a6-9e9e-2c13976eac13	GET	undefined	/subdir/test
2023/09/22	14:37:01	a6ec0f45-77a4-4d3d-819d-a3a650aa9fc0	GET	undefined	/subdir/css/style.css
